City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Nanortalik,GL,60.1432,-45.2371,25.41,94,100,4.65,light snow
258,Kandalaksha,RU,67.162,32.4123,29.86,97,100,3.06,overcast clouds
259,Mount Isa,AU,-20.7333,139.5,100.17,25,75,9.22,broken clouds
260,Polunochnoye,RU,60.8697,60.4153,11.1,77,81,5.06,broken clouds
261,Vila Franca Do Campo,PT,37.7167,-25.4333,55.2,65,94,12.84,overcast clouds
262,Dawlatabad,AF,36.4141,64.9053,74.95,45,100,5.03,overcast clouds
263,Azuaga,ES,38.2667,-5.6833,44.96,91,100,7.25,moderate rain
264,Portobelo,PA,9.55,-79.65,77.72,85,62,14.09,broken clouds
265,Mandalgovi,MN,45.7625,106.2708,48.0,25,100,23.33,overcast clouds
266,Hithadhoo,MV,-0.6,73.0833,83.34,71,53,6.26,broken clouds
267,Biltine,TD,14.5333,20.9167,79.97,13,23,16.33,few clouds
268,Terney,RU,45.0503,136.6092,33.6,83,100,5.97,overcast clouds
269,Laplace,US,30.0666,-90.4801,51.78,78,0,3.44,clear sky
270,Coihaique,CL,-45.5752,-72.0662,51.75,71,0,9.22,clear sky
271,Tyukalinsk,RU,55.8732,72.1967,10.11,82,100,11.97,overcast clouds
272,Naze,JP,28.3667,129.4833,70.72,80,61,3.02,broken clouds
273,Orotukan,RU,62.2667,151.7,1.09,96,100,2.68,overcast clouds
274,Fairbanks,US,64.8378,-147.7164,-9.4,72,0,0.0,clear sky
275,Karatuzskoye,RU,53.6072,92.8667,10.38,79,89,4.83,overcast clouds
276,Pitimbu,BR,-7.4706,-34.8086,77.59,80,98,6.89,overcast clouds
277,Capao Bonito,BR,-24.0058,-48.3494,66.2,100,100,0.98,overcast clouds
278,Yenagoa,NG,4.9247,6.2642,80.42,85,63,1.07,broken clouds
279,Khatanga,RU,71.9667,102.5,0.64,92,100,11.48,overcast clouds
280,Nelson Bay,AU,-32.7167,152.15,77.09,64,3,3.0,clear sky
281,Port Elizabeth,ZA,-33.918,25.5701,62.1,82,40,16.11,scattered clouds
282,Cayenne,GF,4.9333,-52.3333,74.08,1,100,1.14,overcast clouds
283,Talnakh,RU,69.4865,88.3972,-0.8,92,100,8.66,overcast clouds
284,Atzompa,MX,18.7247,-97.1839,46.09,81,2,2.42,clear sky
285,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,75,0.0,broken clouds
286,Zyryanka,RU,65.75,150.85,0.32,94,100,4.34,overcast clouds
287,Kenai,US,60.5544,-151.2583,30.02,61,40,20.71,scattered clouds
288,Kidderminster,GB,52.3882,-2.25,41.02,91,1,4.27,clear sky
289,Nisia Floresta,BR,-6.0911,-35.2086,77.38,89,84,4.16,light rain
290,La Union,PE,-5.4,-80.75,77.45,73,100,6.26,light rain
291,Rio Grande,BR,-32.035,-52.0986,66.31,75,93,3.53,overcast clouds
292,Tilichiki,RU,60.4667,166.1,3.83,86,3,6.53,clear sky
293,Greeneville,US,36.1632,-82.831,32.88,87,4,2.98,clear sky
294,Talaya,RU,61.3833,152.75,0.48,92,100,2.13,overcast clouds
295,Pyu,MM,18.4833,96.4333,104.81,21,99,4.65,overcast clouds
296,Zaysan,KZ,47.4667,84.8667,34.0,94,100,1.99,overcast clouds
297,San Vicente,AR,-26.6167,-54.1333,57.27,99,23,1.32,few clouds
298,Touros,BR,-5.1989,-35.4608,78.35,84,95,6.76,overcast clouds
299,Chara,RU,56.9064,118.2631,7.59,80,100,4.7,overcast clouds
300,Vila Velha,BR,-20.3297,-40.2925,75.94,93,20,1.14,few clouds
301,Lata,PT,40.1629,-8.3327,47.07,81,100,4.27,overcast clouds
302,Sur,OM,22.5667,59.5289,86.86,42,6,7.25,clear sky
303,Nishihara,JP,26.1842,127.7558,74.86,73,75,9.22,broken clouds
304,Whitehorse,CA,60.7161,-135.0538,7.57,70,100,5.75,light snow
305,Palmer,US,42.1584,-72.3287,29.25,59,100,8.05,overcast clouds
306,Nouadhibou,MR,20.931,-17.0347,60.78,82,99,18.41,sand
307,Puerto Guzman,CO,0.9703,-76.5858,70.72,98,100,2.46,overcast clouds
308,Inirida,CO,3.8653,-67.9239,71.6,99,100,2.15,moderate rain
309,Pisco,PE,-13.7,-76.2167,69.85,78,99,4.61,overcast clouds
310,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,50.62,snow
311,Chicama,PE,-7.8447,-79.1469,68.54,73,95,3.18,overcast clouds
312,Suratgarh,IN,29.3167,73.9,96.69,15,0,5.93,clear sky
313,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,40,6.71,scattered clouds
314,Quelimane,MZ,-17.8786,36.8883,73.35,100,75,10.36,light intensity drizzle
315,Cooma,AU,-36.2333,149.1333,71.37,56,40,12.66,scattered clouds
316,Port-Cartier,CA,50.0334,-66.8654,1.62,96,3,6.04,clear sky
317,Pangody,RU,65.85,74.4859,7.83,93,97,8.72,overcast clouds
318,Novoagansk,RU,61.9449,76.6625,13.84,88,100,6.24,overcast clouds
319,Wagga Wagga,AU,-35.1167,147.3667,84.61,26,100,5.75,overcast clouds
320,Launceston,AU,-41.45,147.1667,68.14,63,100,18.41,moderate rain
321,Nome,US,64.5011,-165.4064,23.07,36,0,17.27,clear sky
322,Buarcos,PT,40.166,-8.8768,48.54,74,100,9.24,overcast clouds
323,Olafsvik,IS,64.8945,-23.7142,38.1,80,100,43.02,overcast clouds
324,Wembley,AU,-31.9333,115.8,85.01,58,20,14.97,few clouds
325,Hirado,JP,33.3597,129.5531,73.38,92,100,14.45,overcast clouds
326,Aojiang,CN,22.9421,116.0359,81.77,55,8,11.48,clear sky
327,Natal,BR,-5.795,-35.2094,77.22,94,40,3.44,light rain
328,Erzin,TR,36.9559,36.2,40.96,56,0,5.99,clear sky
329,Don Benito,ES,38.9563,-5.8616,45.05,95,100,3.29,light rain
330,Beni,CD,0.5,29.4667,74.91,64,100,2.77,overcast clouds
331,La Ronge,CA,55.1001,-105.2842,-5.55,71,20,6.91,few clouds
332,Port Hardy,CA,50.6996,-127.4199,44.6,93,100,3.44,light intensity shower rain
333,Songjianghe,CN,42.1859,127.479,32.97,99,100,4.12,light snow
334,La Asuncion,VE,11.0333,-63.8628,74.82,84,100,13.22,overcast clouds
335,Constantine,DZ,36.365,6.6147,51.21,71,40,8.05,scattered clouds
336,Koster,ZA,-25.863,26.8976,69.89,49,79,13.38,broken clouds
337,Kokopo,PG,-4.352,152.2633,83.08,65,100,2.01,overcast clouds
338,Bilibino,RU,68.0546,166.4372,-9.09,90,64,5.7,broken clouds
339,Margate,GB,51.3813,1.3862,44.69,94,6,1.01,clear sky
340,Narasannapeta,IN,18.4167,84.05,92.66,28,5,10.65,clear sky
341,Termoli,IT,41.9888,14.9895,46.78,64,0,5.53,clear sky
342,Maniitsoq,GL,65.4167,-52.9,3.42,91,100,28.23,overcast clouds
343,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.93,100,100,0.89,overcast clouds
344,Hirara,JP,24.8,125.2833,77.27,69,40,4.61,scattered clouds
345,Novyy Urgal,RU,51.0736,132.5642,25.43,71,100,1.68,overcast clouds
